,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Punta Arenas,-53.15,-70.92,286.15,71,75,5.1,CL,1605065360
1,Jacareacanga,-6.22,-57.75,296.03,89,64,0.44,BR,1605065360
2,Rikitea,-23.12,-134.97,296.17,79,9,8.98,PF,1605065360
3,São João da Barra,-21.64,-41.05,296.46,91,100,4.9,BR,1605065360
4,Vaini,-21.2,-175.2,300.15,74,20,4.6,TO,1605065361
5,Vytegra,61.01,36.45,274.77,86,100,3.98,RU,1605065361
6,Albany,42.6,-73.97,289.26,69,0,2.08,US,1605065360
7,Necoclí,8.42,-76.79,298.45,82,99,1.41,CO,1605065361
8,Lagoa,39.05,-27.98,288.37,66,83,7.77,PT,1605065362
9,Port Alfred,-33.59,26.89,289.12,78,89,2.43,ZA,1605065362
10,Tuatapere,-46.13,167.68,287.59,73,23,4.92,NZ,1605065362
11,Mar del Plata,-38.0,-57.56,290.37,93,94,1.5,AR,1605065251
12,Yei,4.09,30.68,291.29,93,0,0.81,SS,1605065362
13,Torbay,47.67,-52.73,284.82,93,5,12.3,CA,1605065363
14,Atuona,-9.8,-139.03,298.85,76,17,7.68,PF,1605065363
15,Hithadhoo,-0.6,73.08,302.24,70,100,3.65,MV,1605065363
16,Yellowknife,62.46,-114.35,255.37,77,90,4.1,CA,1605065299
17,Kralendijk,12.15,-68.27,301.15,83,35,2.6,BQ,1605065363
18,Severo-Kuril'sk,50.68,156.12,276.19,74,60,4.87,RU,1605065363
19,Qaqortoq,60.72,-46.03,268.55,91,100,3.95,GL,1605065364
20,Busselton,-33.65,115.33,287.59,71,79,1.34,AU,1605065364
21,Nanortalik,60.14,-45.24,271.05,86,100,2.84,GL,1605065364
22,Lebu,-37.62,-73.65,284.14,93,18,5.62,CL,1605065364
23,Ilulissat,69.22,-51.1,258.69,92,80,0.66,GL,1605065364
24,Olinalá,17.83,-98.85,292.25,88,0,2.26,MX,1605065365
25,Provideniya,64.38,-173.3,274.15,86,75,3.0,RU,1605065365
26,Charters Towers,-20.1,146.27,304.14,27,0,3.13,AU,1605065365
27,Kahului,20.89,-156.47,300.15,65,40,9.3,US,1605065170
28,Hambantota,6.12,81.12,301.15,88,20,1.0,LK,1605065365
29,Vila Velha,-20.33,-40.29,298.15,83,40,4.1,BR,1605065366
30,Swellendam,-34.02,20.44,279.15,93,0,1.0,ZA,1605065366
31,Nuevo Progreso,23.17,-97.95,297.04,68,4,0.7,MX,1605065367
32,Laas,46.62,10.7,275.15,93,5,2.6,IT,1605065367
33,Nānākuli,21.39,-158.15,301.15,58,1,3.6,US,1605065367
34,Adrar,20.5,-10.07,297.77,19,0,2.66,MR,1605065367
35,Naze,28.37,129.48,297.15,50,20,7.2,JP,1605065368
36,Hasaki,35.73,140.83,289.26,38,20,7.2,JP,1605065368
37,Dikson,73.51,80.55,259.47,94,29,7.7,RU,1605065368
38,Ushuaia,-54.8,-68.3,284.15,57,20,1.5,AR,1605065368
39,Los Llanos de Aridane,28.66,-17.92,293.15,72,20,4.6,ES,1605065368
40,Ahipara,-35.17,173.17,290.12,66,3,5.18,NZ,1605065368
41,Klaksvík,62.23,-6.59,281.15,75,100,9.3,FO,1605065369
42,Hobart,-42.88,147.33,306.48,22,0,5.1,AU,1605065143
43,Husavik,66.04,-17.34,273.15,92,90,3.1,IS,1605065369
44,Belaya Gora,68.53,146.42,246.63,89,96,1.3,RU,1605065369
45,Bukoba,-1.33,31.81,292.0,83,98,1.29,TZ,1605065370
46,Sur,22.57,59.53,296.93,67,0,0.86,OM,1605065370
47,Mataura,-46.19,168.86,287.59,73,0,4.92,NZ,1605065370
48,Hofn,64.25,-15.21,277.33,79,100,13.53,IS,1605065370
49,Fortuna,40.6,-124.16,281.48,100,40,3.1,US,1605065370
50,Moree,-29.47,149.85,304.15,20,40,3.6,AU,1605065371
51,Santander,43.46,-3.8,283.15,93,69,1.8,ES,1605065095
52,Itarema,-2.92,-39.92,300.34,76,18,6.83,BR,1605065371
53,Atar,20.52,-13.05,299.54,17,0,2.32,MR,1605065371
54,Lorengau,-2.02,147.27,302.84,65,99,2.46,PG,1605065372
55,Butaritari,3.07,172.79,300.96,78,23,3.7,KI,1605065372
56,Nikolskoye,59.7,30.79,272.59,92,90,3.0,RU,1605065372
57,Channel-Port aux Basques,47.57,-59.14,282.45,80,1,9.35,CA,1605065372
58,Longyearbyen,78.22,15.64,274.15,80,75,6.7,SJ,1605065373
59,Chui,-33.7,-53.46,289.05,87,88,4.57,UY,1605065373
60,Grindavik,63.84,-22.43,274.15,67,20,3.6,IS,1605065373
61,Hong Kong,22.29,114.16,296.48,60,0,2.24,HK,1605064964
62,Avera,33.19,-82.53,295.15,94,90,2.1,US,1605065373
63,Keta,5.92,0.99,298.15,88,20,1.0,GH,1605065374
64,Khandyga,62.67,135.6,254.12,90,95,0.85,RU,1605065374
65,Olafsvik,64.89,-23.71,277.57,71,100,3.46,IS,1605065374
66,Oktyabr'skiy,54.48,53.47,271.55,97,99,3.99,RU,1605065374
67,Hermanus,-34.42,19.23,283.71,88,2,1.34,ZA,1605065374
68,Hay River,60.82,-115.8,255.15,77,8,2.6,CA,1605065375
69,Saint-Philippe,-21.36,55.77,298.15,57,0,1.5,RE,1605065375
70,San Juan Bautista,-14.01,-75.74,291.15,88,90,4.6,PE,1605065375
71,Rome,43.21,-75.46,290.15,67,1,3.1,US,1605065375
72,Paraná,-31.73,-60.52,294.26,63,0,4.6,AR,1605065376
73,Hilo,19.73,-155.09,299.15,74,40,2.6,US,1605065192
74,Motril,36.75,-3.52,288.15,73,25,0.45,ES,1605065376
75,Cape Town,-33.93,18.42,287.59,76,0,2.1,ZA,1605064978
76,Jamestown,42.1,-79.24,290.15,67,1,4.6,US,1605065232
77,Beringovskiy,63.05,179.32,266.8,94,84,7.56,RU,1605065376
78,Saint George,37.1,-113.58,279.26,52,1,2.1,US,1605065199
79,Lazurne,46.08,32.53,271.15,92,0,3.0,UA,1605065377
80,Karratha,-20.74,116.85,306.27,16,0,6.13,AU,1605065111
81,Tiarei,-17.53,-149.33,297.15,83,75,1.5,PF,1605065377
82,Arroio Grande,-32.24,-53.09,289.98,89,98,4.99,BR,1605065378
83,Qaanaaq,77.48,-69.36,254.59,61,0,2.31,GL,1605065378
84,Saint Paul Harbor,57.79,-152.41,280.15,81,90,4.1,US,1605065378
85,Jiangkou,25.49,119.2,295.15,49,0,11.0,CN,1605065378
86,Sorong,-0.88,131.25,303.07,68,85,2.84,ID,1605065378
87,Bredasdorp,-34.53,20.04,279.15,93,0,1.0,ZA,1605065379
88,Castro,-24.79,-50.01,290.67,90,100,0.58,BR,1605065148
89,Priargunsk,50.37,119.1,270.2,94,78,0.39,RU,1605065379
90,Kabare,-2.47,28.82,289.43,86,99,0.72,CD,1605065295
91,Thompson,55.74,-97.86,263.15,92,90,1.5,CA,1605065380
92,Playa del Carmen,20.63,-87.08,300.15,78,40,4.6,MX,1605065162
93,Cidreira,-30.18,-50.21,293.66,95,100,4.65,BR,1605065380
94,Sarab,38.61,44.99,281.98,55,85,1.18,IR,1605065380
95,Narón,43.52,-8.15,285.93,74,61,4.47,ES,1605065380
96,Agirish,61.92,63.02,266.94,95,78,2.63,RU,1605065381
97,Vila Franca do Campo,37.72,-25.43,289.15,72,20,9.8,PT,1605065381
98,Malanje,-9.54,16.34,290.79,99,100,1.24,AO,1605065381
99,Camacha,33.08,-16.33,292.15,63,40,2.1,PT,1605065381
100,Oistins,13.07,-59.53,298.15,94,75,8.2,BB,1605065382
101,Talcahuano,-36.72,-73.12,286.15,87,1,3.1,CL,1605065183
102,Mossamedes,-15.2,12.15,295.75,82,49,0.98,AO,1605065382
103,Pergamino,-33.89,-60.57,292.59,76,63,0.89,AR,1605065382
104,Tumbagaan,5.37,120.31,302.22,65,89,1.01,PH,1605065382
105,Leningradskiy,69.38,178.42,269.34,97,100,8.57,RU,1605065382
106,Mezen',65.85,44.24,271.43,95,95,2.63,RU,1605065383
107,Kruisfontein,-34.0,24.73,286.48,96,0,1.11,ZA,1605065383
108,Tutóia,-2.76,-42.27,300.56,81,2,5.06,BR,1605065383
109,Rawson,-43.3,-65.1,289.7,80,85,4.79,AR,1605065249
110,Lüderitz,-26.65,15.16,290.07,38,0,5.94,NA,1605065383
111,Bluff,-46.6,168.33,287.59,73,28,4.92,NZ,1605065384
112,Kapaa,22.08,-159.32,300.15,74,40,7.2,US,1605065384
113,Seoul,37.57,126.98,287.15,34,1,0.32,KR,1605065190
114,Vanimo,-2.67,141.3,302.78,67,78,2.17,PG,1605065384
115,Sambava,-14.27,50.17,295.61,86,5,3.83,MG,1605065384
116,Woodward,36.43,-99.39,279.15,65,1,5.1,US,1605065385
117,Glendive,47.11,-104.71,272.59,86,90,4.1,US,1605065130
118,Sawtell,-30.38,153.1,298.71,60,3,9.8,AU,1605065385
119,Soure,-0.72,-48.52,300.19,82,100,4.71,BR,1605065385
120,Saskylakh,71.92,114.08,256.39,92,100,4.14,RU,1605065386
121,Stettler,52.32,-112.72,267.59,100,100,12.9,CA,1605065386
122,Slave Lake,55.28,-114.77,265.15,85,90,4.6,CA,1605065386
123,Flinders,-34.58,150.86,298.71,67,0,2.68,AU,1605065386
124,Bambous Virieux,-20.34,57.76,298.15,83,75,2.6,MU,1605065386
125,Te Anau,-45.42,167.72,293.36,35,6,1.36,NZ,1605065387
126,Jos,9.92,8.9,289.8,44,4,0.93,NG,1605065387
127,Khasan,42.43,130.64,280.07,56,0,0.85,RU,1605065387
128,Thomaston,32.89,-84.33,295.15,94,90,2.6,US,1605065387
129,Dingle,11.0,122.67,301.76,76,100,3.57,PH,1605065388
130,Kismayo,-0.36,42.55,299.66,80,95,3.98,SO,1605065388
131,Chattanooga,35.05,-85.31,294.15,88,90,2.1,US,1605065326
132,Upernavik,72.79,-56.15,262.27,91,100,1.63,GL,1605065389
133,Emmett,43.87,-116.5,276.48,89,100,2.99,US,1605065389
134,Camaná,-16.62,-72.71,290.73,78,25,2.33,PE,1605065356
135,Capreol,46.71,-80.92,290.93,77,90,9.3,CA,1605065389
136,Solnechnyy,50.72,136.63,269.04,81,0,2.69,RU,1605065390
137,Sioux Lookout,50.1,-91.92,265.15,78,5,1.28,CA,1605065390
138,Tuktoyaktuk,69.45,-133.04,251.15,83,5,5.1,CA,1605065390
139,Tura,25.52,90.22,297.39,57,0,0.68,IN,1605065390
140,Oussouye,12.48,-16.55,299.15,100,0,1.0,SN,1605065390
141,Navahrudak,53.6,25.83,273.37,97,65,0.86,BY,1605065390
142,Souillac,-20.52,57.52,296.15,83,75,2.6,MU,1605065391
143,Tasiilaq,65.61,-37.64,271.91,95,100,10.86,GL,1605065391
144,Pandamatenga,-18.53,25.63,296.77,53,90,4.8,BW,1605065391
145,Lincoln,40.8,-96.67,271.15,86,1,2.1,US,1605065381
146,Barrow,71.29,-156.79,262.15,85,90,11.3,US,1605065391
147,Pevek,69.7,170.31,267.04,96,100,6.45,RU,1605065391
148,Kiryat Gat,31.61,34.76,290.37,74,0,0.29,IL,1605065392
149,Caravelas,-17.71,-39.25,296.34,89,29,3.2,BR,1605065392
150,Esim,4.87,-2.24,298.35,87,18,2.14,GH,1605065392
151,George Town,5.41,100.34,304.15,74,20,2.1,MY,1605065392
152,Porto-Novo,6.5,2.6,300.15,88,40,3.6,BJ,1605065393
153,Clyde River,70.47,-68.59,254.15,91,75,2.1,CA,1605065110
154,Half Moon Bay,37.46,-122.43,286.48,76,90,1.5,US,1605065393
155,Matara,5.95,80.54,301.04,76,100,2.82,LK,1605065393
156,Brookfield,43.06,-88.11,284.26,71,75,13.9,US,1605065331
157,Warrnambool,-38.38,142.48,292.05,89,100,5.57,AU,1605065394
158,Makkah al Mukarramah,21.43,39.83,297.43,79,0,1.97,SA,1605065394
159,Sliven,42.69,26.33,283.15,71,90,2.1,BG,1605065394
160,Laguna,38.42,-121.42,285.93,40,1,1.5,US,1605065394
161,Lethem,3.38,-59.8,299.59,72,0,3.5,GY,1605065394
162,Pisco,-13.7,-76.22,291.15,88,90,4.6,PE,1605065395
163,Guerrero Negro,27.98,-114.06,291.21,49,0,8.44,MX,1605065395
164,Fare,-16.7,-151.02,299.73,74,100,5.25,PF,1605065395
165,Kavaratti,10.57,72.64,301.15,74,20,2.1,IN,1605065396
166,Scarborough,54.28,-0.4,281.48,94,80,2.68,GB,1605065396
167,Dunedin,-45.87,170.5,287.04,74,17,1.34,NZ,1605065378
168,Banda Aceh,5.56,95.32,302.21,70,15,3.6,ID,1605065396
169,Province of Mantua,45.17,10.78,282.04,98,47,0.96,IT,1605065397
170,Khatanga,71.97,102.5,250.54,91,76,2.27,RU,1605065397
171,Mednogorsk,51.41,57.59,270.3,94,100,6.17,RU,1605065397
172,New Norfolk,-42.78,147.06,306.48,22,36,1.34,AU,1605065398
173,Saint-Léonard,47.17,-67.92,289.26,68,100,2.54,CA,1605065398
174,Sicamous,50.83,-118.99,270.37,100,100,0.5,CA,1605065398
175,Bethel,41.37,-73.41,288.71,86,0,1.79,US,1605065398
176,Lakes Entrance,-37.88,147.98,304.82,38,52,2.24,AU,1605065398
177,Lichtenburg,-26.15,26.16,287.98,91,0,4.74,ZA,1605065399
178,Bendigo,-36.77,144.28,298.71,55,100,1.34,AU,1605065394
179,Ciudad Guayana,8.35,-62.65,299.82,76,13,1.34,VE,1605065400
180,Linda,39.13,-121.55,283.15,45,1,2.1,US,1605065400
181,Bud,39.45,-86.18,292.59,93,90,5.7,US,1605065400
182,Kandrian,-6.22,149.55,302.34,73,36,2.85,PG,1605065400
183,San Nicolas,18.17,120.6,303.15,70,75,9.3,PH,1605065177
184,Port Elizabeth,-33.92,25.57,288.15,93,20,2.6,ZA,1605065165
185,Huilong,31.81,121.66,293.15,62,3,1.34,CN,1605065401
186,Aasiaat,68.71,-52.87,261.89,94,98,1.72,GL,1605065401
187,Ust-Nera,64.57,143.2,245.04,77,28,1.6,RU,1605065401
188,Kununurra,-15.77,128.73,312.15,29,0,3.1,AU,1605065402
189,Bubaque,11.28,-15.83,301.42,82,3,5.83,GW,1605065402
190,Bondoukou,8.03,-2.8,294.98,91,100,1.56,CI,1605065402
191,Lata,40.16,-8.33,285.37,91,36,2.04,PT,1605065403
192,Eureka,40.8,-124.16,281.48,90,100,2.53,US,1605065231
193,Arraial do Cabo,-22.97,-42.03,296.24,90,100,6.81,BR,1605065405
194,Cabo San Lucas,22.89,-109.91,295.37,73,75,5.1,MX,1605065405
195,Mareeba,-17.0,145.43,302.59,58,90,5.1,AU,1605065406
196,Fort Nelson,58.81,-122.7,257.15,84,75,1.5,CA,1605065406
197,Vaitape,-16.52,-151.75,299.39,76,100,4.77,PF,1605065407
198,Mahébourg,-20.41,57.7,296.15,83,75,2.6,MU,1605065407
199,São Filipe,14.9,-24.5,299.13,74,1,1.25,CV,1605065407
200,Derzhavīnsk,51.1,66.32,271.63,93,76,8.14,KZ,1605065408
201,Griffith,41.53,-87.42,287.15,87,90,6.7,US,1605065142
202,Meulaboh,4.14,96.13,303.31,66,66,1.07,ID,1605065409
203,Bengkulu,-3.8,102.27,302.65,66,64,3.15,ID,1605065409
204,Nipawin,53.37,-104.0,261.15,85,90,1.5,CA,1605065289
205,Pimenta Bueno,-11.67,-61.19,296.35,85,81,1.9,BR,1605065410
206,Seryshevo,51.09,128.38,270.07,96,83,5.31,RU,1605065410
207,Moose Factory,51.26,-80.61,274.15,80,90,2.1,CA,1605065411
208,Alyangula,-13.85,136.42,303.97,62,62,6.76,AU,1605065411
209,Ribeira Grande,38.52,-28.7,287.15,71,20,2.6,PT,1605065412
